discription,name_author,picture,price,rattings,role,sub_title,tag_product,title,type_product,url
"""The blockbuster manga that inspired the epic anime, airing now on Adult Swims Toonami!"", ""The blockbuster manga that inspired the epic anime, airing now on Adult Swims Toonami!"", RUTHLESS SAVIOR, ""After years as a lonely double agent, Zeke finally returns to the good graces of his home island of Paradis. Still, the Survey Corps refuses to let him meet Eren--the other ingredient in the earth-shaking weapon-- for fear the explosive duo will be impossible to control. Meanwhile, the public responds badly to the militarys open distrust of their hero Eren, and the detention of the Marleyan volunteers spurs an uprising. Amid the turmoil, Eren takes matters into his own hands...""",HAJIME ISAYAMA,,17.7,1868.0,Author,"Paperback – Illustrated, 6 August 2019",,Attack on Titan 28,Manga,https://www.amazon.com.au//Attack-Titan-28-HAJIME-ISAYAMA/dp/1632367831/ref=sr_1_227?qid=1690094924&s=books&sr=1-227
"""Its never been easier to attack "", Attack on Titan, "" than with these new, giant-sized 3-in-1 omnibus editions! If youve been waiting for the final anime season to check out the do-or-die shonen adventure that defined a decade, nows your chance. These new books tuck almost 600 pages of manga behind a specially-embossed cover, all in a larger size than the regular version."",  , Includes Vol. 31-32 of , Attack on Titan, ., ""After breaking through a stronghold of old friends and enemies, Zeke hands down his plan for the Eldians to Eren. But what Eren was plotting with his rumbling powers leaves his brother in the dust, betrayed and alone once more. Now, with some help from Ymir, a parade of massive Titans are roused from their centuries-long slumber, breaking free of the Walls to answer their founders call. Where the march leads, only Eren knows...""",HAJIME ISAYAMA,,,,Author,Paperback – 12 September 2023,,Attack on Titan Omnibus 11 (Vol. 31-32),Manga,https://www.amazon.com.au//Attack-Titan-Omnibus-Vol-31-32/dp/1646514920/ref=sr_1_278?qid=1690094971&s=books&sr=1-278
"In a frozen dystopia where inhabitants eat flesh to survive, can the destructive powers of fire bring salvation?, In the not-too-distant past, the Ice Witch blankets the world in snow, starvation, and madness, leading the inhabitants to seek their salvation in fire. With that, an unusual destiny unfolds for two young orphans, Agni and Luna, blessed with the ability to regenerate. But will this ability prove to be more of a curse than a blessing?, With his promise to Tena imprinted on his mind, Agni can only enjoy an inauthentic peace coated thickly with lies. His existence blames, tortures and undermines him, becoming an affliction worse than the anger, pain and madness he’d experienced as Fire Punch. As Agni searches desperately for an escape from this hell, an old friend suddenly appears.",Tatsuki Fujimoto,,18.99,600.0,Author,Paperback – 10 August 2019,,"Fire Punch, Volume 7",Manga,https://www.amazon.com.au//Fire-Punch-Vol-Tatsuki-Fujimoto/dp/1974704513/ref=sr_1_99?qid=1690094918&s=books&sr=1-99
,Takashi Okazaki,,25.4,66.0,Author,Paperback – 1 March 2023,,Afro Samurai Vol.2,Graphic Design,https://www.amazon.com.au//Afro-Samurai-Vol-2-Takashi-Okazaki/dp/1787739015/ref=sr_1_285?qid=1690094971&s=books&sr=1-285
"Now a hit anime! The new action fantasy set in a steampunk Tokyo from the creator of the smash hit , Soul Eater, !, THE GREAT CATACLYSM BEGINS!,  , Arthur has a new sword. Shinra explores how to travel to Adolla...while his brother Sh_x043E__x0304_ reaches out to him from the other side. Meanwhile, the Evangelist puts into motion the end of the world. A great pillar rises from the sea, and with it a gargantuan threat. The Great Cataclysm has begun!",Atsushi Ohkubo,,20.35,173.0,Author,Paperback – 15 December 2021,,Fire Force 24,Manga,https://www.amazon.com.au//Fire-Force-24-Atsushi-Ohkubo/dp/1646512820/ref=sr_1_234?qid=1690094924&s=books&sr=1-234
"From acclaimed mangaka Tsutomu Nihei, the creator and artist behind BLAME! and Knights of Sidonia, comes his latest sci-fi epic., As the Rebedoan Empire continues to increase its ranks of Regular Frames, Etherow and his companions disguise themselves and sneak into Rebedoa proper. Emperor Nichiko Suou has the ability to see the future, making him a formidable opponent. But Etherow realizes that every time an AMB is fired, the future itself is altered. Does this mean he has a chance to take down the Emperor...?",Tsutomu Nihei,,,91.0,Author,Paperback – 1 September 2021,,"APOSIMZ, volume 7",Manga,https://www.amazon.com.au//APOSIMZ-7-Tsutomu-Nihei/dp/1647290554/ref=sr_1_288?qid=1690094971&s=books&sr=1-288
"""The complete cyberpunk classic, now a major Hollywood film! This box set includes all five volumes of Battle Angel Alita plus a brand new book of short stories - more than 2,000 pages of manga - in a collectors box set with special extras."", ""Includes print with new art by Yukito Kishiro, plus two additional prints, featuring beautiful metallic coating! The complete cyberpunk classic, now a major Hollywood film! This box set includes all five volumes of Battle Angel Alita plus a brand new book of short stories - more than 2,000 pages of manga - in a collectors box set with special extras."", In a dump in the lawless settlement of Scrapyard, far beneath the mysterious space city of Zalem, disgraced cyber-doctor Daisuke Ido makes a strange find- the detached head of a cyborg woman who has lost all her memories. He names her Alita and equips her with a powerful new body, the Berserker. While Alita remembers no details of her former life, a moment of desperation reawakens in her nerves the legendary school of martial arts known as Panzer Kunst. In a place where there is no justice but what people make for themselves, Alita decides to become a hunter-killer, tracking down those who prey on the weak.",Yukito Kishiro,,,1284.0,Author,"Hardcover – Box set, 18 December 2018",,Battle Angel Alita Deluxe Complete Series Box Set,Manga,https://www.amazon.com.au//Battle-Angel-Alita-Deluxe-Complete/dp/1632367114/ref=sr_1_63?qid=1690094881&s=books&sr=1-63
"Now a hit anime! The new action fantasy set in a steampunk Tokyo from the creator of the smash hit , Soul Eater, !, Now a hit anime! The new action fantasy set in a steampunk Tokyo from the creator of the smash hit , Soul Eater, !, TO THE RESCUE, The Evangelist has taken over the government, and their ﬁrst order of business is to arrest Captain Ōbi and declare Company 8 enemies of the state. Now fugitives from the law, Company 8 joins forces with the anti-hero Joker to invade the Grand Penitentiary and rescue their fearless leader!",Atsushi Ohkubo,,22.99,293.0,Author,Paperback – 16 March 2021,,Fire Force 21,Manga,https://www.amazon.com.au//Fire-Force-21-Atsushi-Ohkubo/dp/1646510410/ref=sr_1_238?qid=1690094924&s=books&sr=1-238
,Abi Umeda,,14.62,115.0,Author,Kindle & comiXology,,"Children of the Whales, Vol. 3",Comics & Graphic Novels,https://www.amazon.com.au//Children-Whales-Vol-Abi-Umeda-ebook/dp/B07V5CJBHV/ref=sr_1_282?qid=1690094971&s=books&sr=1-282
"Catch up on the manga before season 3 arrives in July 2018!, CLASH OF THE ELDIANS, ""The deadly pageant directed by and starring Willy Tybur clearly illustrates the threat posed by the island of Paradis, as the dangerous rebel Eren Yeager mows down civilians and deals a massive blow to the Marleyan army. Meanwhile, the Eldian soldiers including Mikasa, Connie, and Sasha sow chaos in the city and disrupt military communications. But the battle between Eren and the War Hammer Titan isnt over, and its about to draw in the full might of this lands warriors...""",HAJIME ISAYAMA,,14.38,1755.0,Author,"Paperback – Illustrated, 4 December 2018",,Attack on Titan 26,Literature & Fiction,https://www.amazon.com.au//Attack-Titan-26-HAJIME-ISAYAMA/dp/1632366541/ref=sr_1_235?qid=1690094924&s=books&sr=1-235
"""In this acclaimed, postapocalyptic action manga, a soldier named Leon is taken from his family on a trumped-up charge and dropped into a suicide mission to recover a dangerous weapon from a deadly place, a place ruled by huge, irradiated, mutated monsters--a place once known, 200 years ago, as Japan. One of the scant pieces of information they have is the weapons codename- Tsugumi."", This gory, mysterious story, which has already thrilled readers in Japan and France, is an action-suspense epic in the vein of classics like , Blame!, , , Spriggan, , and , AKIRA, ., Enter a land of monsters and buried secrets. A land once known as...Japan. , More than two centuries have passed since Japan was devastated by nuclear war. Cut off from the world, the island is now a place of terror and mysteries- wonders of science some believe best forgotten, monuments to a bygone era of human decadence, and irradiated monsters ready to tear apart any humans foolish enough to set foot there., After being wrenched from his family and falsely convicted, a French soldier of fortune named Leon finds himself on a cargo plane to Japan. He and his fellow convicts are given one year to locate a powerful weapon from ages past-a weapon known only by the codename TORATSUGUMI-in exchange for their freedom. But what is the true nature of this weapon, and how is it connected to the taloned, half-human girl who swoops in to save Leon?, A lushly drawn, post-apocalyptic action manga for fans of , AKIRA, , , ""Hells Paradise- Jigokuraku"", , and , The Southern Reach Trilogy, .",ippatu,,24.99,4.0,Author,Paperback – 23 August 2023,,Tsugumi Project 1,Manga,https://www.amazon.com.au//Tsugumi-Project-1-Ippatu/dp/164651789X/ref=sr_1_100?qid=1690094918&s=books&sr=1-100
